SNname,HostName,redshift,type,data_file,download_url
SN2009an,NGC 4332,0.009233,Ia,SN2009an_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2009an_uvotB15.1.dat
SN2009cz,NGC 2789,0.021138,Ia,SN2009cz_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2009cz_uvotB15.1.dat
SN2009dc,UGC 10064,0.021391,Ia-SC,SN2009dc_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2009dc_uvotB15.1.dat
SN2009gf,NGC 5525,0.018523,Ia,SN2009gf_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2009gf_uvotB15.1.dat
SN2009ig,NGC 1015,0.00877,Ia,SN2009ig_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2009ig_uvotB15.1.dat
SN2009jb,A172341+3029,0.03,Ia,SN2009jb_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2009jb_uvotB15.1.dat
SN2009jr,IC 1320,0.016548,Ia,SN2009jr_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2009jr_uvotB15.1.dat
SN2010Y,NGC 3392,0.01086,Ia,SN2010Y_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010Y_uvotB15.1.dat
SN2010ae,ESO 162-G17,0.003662,Ia-p,SN2010ae_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010ae_uvotB15.1.dat
SN2010bv,ESO 533-G4,0.008659,Ia,SN2010bv_uvotB25.0.nosub.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010bv_uvotB25.0.nosub.dat
SN2010cr,NGC 5177,0.02157,Ia,SN2010cr_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010cr_uvotB15.1.dat
SN2010el,NGC 1566,0.005017,Ia-p,SN2010el_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010el_uvotB15.1.dat
SN2010ev,NGC 3244,0.009211,Ia,SN2010ev_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010ev_uvotB15.1.dat
SN2010fy,A052452-4646,0.049,Ia,SN2010fy_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010fy_uvotB15.1.dat
SN2010gn,SDSS J171750.05+405252.5,0.0365,Ia,SN2010gn_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010gn_uvotB15.1.dat
SN2010gp,NGC 6240,0.02448,Ia,SN2010gp_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010gp_uvotB15.1.dat
SN2010hh,NGC 6524,0.019006,Ia,SN2010hh_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010hh_uvotB15.1.dat
SN2010ih,NGC 2325,0.007288,Ia,SN2010ih_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010ih_uvotB15.1.dat
SN2010jn,NGC 2929,0.025047,Ia ,SN2010jn_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010jn_uvotB15.1.dat
SN2010kg,NGC 1633,0.016642,Ia,SN2010kg_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010kg_uvotB15.1.dat
SN2010ko,NGC 1954,0.010441,Ia,SN2010ko_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2010ko_uvotB15.1.dat
SN2011B,NGC 2655,0.00467,Ia,SN2011B_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011B_uvotB15.1.dat
SN2011M,UGC 3218,0.017432,Ia,SN2011M_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011M_uvotB15.1.dat
SN2011aa,UGC 3906,0.012355,Ia,SN2011aa_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011aa_uvotB15.1.dat
SN2011ao,IC 2973,0.010706,Ia,SN2011ao_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011ao_uvotB15.1.dat
SN2011at,MCG -02-24-27,0.006758,Ia,SN2011at_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011at_uvotB15.1.dat
SN2011ay,NGC 2315,0.021,Ia-99aa?02cx?,SN2011ay_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011ay_uvotB15.1.dat
SN2011by,NGC 3972,0.002843,Ia,SN2011by_uvotB15.1.all.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011by_uvotB15.1.all.dat
SN2011by,NGC 3972,0.002843,Ia,SN2011by_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011by_uvotB15.1.dat
SN2011de,UGC 10018,0.029187,Ia,SN2011de_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011de_uvotB15.1.dat
SN2011dm,UGC 11861,0.00494,Ia,SN2011dm_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011dm_uvotB15.1.dat
SN2011dn,UGC 11501,0.025272,Ia-91T,SN2011dn_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011dn_uvotB15.1.dat
SN2011eh,NGC 3613,0.006785,Ia-91bg,SN2011eh_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011eh_uvotB15.1.dat
SN2011ek,NGC 918,0.005027,Ia-91bg,SN2011ek_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011ek_uvotB15.1.dat
SN2011fe,M101,0.000804,Ia,SN2011fe_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011fe_uvotB15.1.dat
SN2011fs,UGC 11975,0.020914,Ia,SN2011fs_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/SN2011fs_uvotB15.1.dat
