Parameter Name                 Value
m0                             1.032453205007235e-01
m0                             7.148103832553732e-02
m0                             8.694734514385496e-02
m0                             6.166018030943787e-02
m0                             7.256823992293926e-02
m0                             7.121606507546718e-02
m0                             7.097667600534238e-02
m0                             7.645828269539122e-02
m0                             6.218902882099341e-02
m0                             6.558229882892855e-02
m0                             7.245457760342995e-02
m0                             5.053176602867263e-02
m0                             3.770312739364285e-02
m0                             4.138894069595232e-02
m0                             5.269331122839645e-02
m0                             6.238700358984144e-02
m0                             6.905692064188383e-02
m0                             6.280503290121019e-02
m0                             6.533090979248349e-02
m0                             5.853795398095144e-02
m0                             6.311344908576363e-02
m0                             5.641560069843464e-02
m0                             5.547095253131230e-02
m0                             5.372121422381806e-02
m0                             4.875577328249275e-02
m0                             4.956366698079485e-02
m0                             4.523691040912160e-02
m0                             4.485152069347257e-02
m0                             4.579099549047570e-02
m0                             4.327388803740408e-02
m0                             3.978551594560065e-02
m0                             4.204506902941792e-02
m0                             3.939910621394341e-02
m0                             3.668376968276350e-02
m0                             3.015532855000215e-02
m0                             3.539867584449220e-02
m0                             3.195459832414587e-02
m0                             3.485380390972944e-02
m0                             2.437913113412709e-02
m0                             1.916363499472178e-02
m0                             1.925062051635285e-02
m0                             2.070470607019450e-02
m0                             2.669704297185970e-02
m0                             2.312948775592489e-02
m0                             2.753725647658362e-02
m0                             2.629557498211788e-02
m0                             2.887290819136659e-02
m0                             2.731145141617299e-02
m0                             2.815497457527771e-02
m0                             2.758953281893454e-02
m0                             2.560059634109852e-02
m0                             2.818295846610760e-02
m0                             2.465511162988240e-02
m0                             2.485755509669515e-02
m0                             1.859145103202152e-02
m0                             2.219217404258157e-02
m0                             1.856392228523101e-02
m0                             1.973955227476863e-02
m0                             1.544640802069321e-02
m0                             1.864307392175125e-02
m0                             1.906447102341547e-02
m0                             1.472121692707310e-02
m0                             1.794996382578239e-02
m0                             1.382279855926596e-02
m0                             1.525456134977146e-02
m0                             8.999893457593756e-03
m0                             1.225642558365458e-02
m0                             1.211492821358639e-02
m0                             1.102964638623124e-02
m0                             1.331955480084038e-02
m0                             1.226521780220606e-02
m0                             1.125482396234850e-02
m0                             1.061541388744636e-02
