Parameter Name                 Value
m0                             5.591164045677283e-02
m0                             5.395947611552996e-02
m0                             4.911688536594621e-02
m0                             4.977142016854432e-02
m0                             4.547869176179225e-02
m0                             4.509230485606448e-02
m0                             4.584224513958113e-02
m0                             4.357621903985748e-02
m0                             3.995613605944892e-02
m0                             4.247212577987747e-02
m0                             3.977935980523840e-02
m0                             3.680642183672399e-02
m0                             3.081516548205188e-02
m0                             3.570194445001470e-02
m0                             3.229326954837373e-02
m0                             3.512162508894622e-02
m0                             2.469362831582040e-02
m0                             1.910416408245347e-02
m0                             1.958943838826029e-02
m0                             2.111610895819458e-02
m0                             2.715047862790100e-02
m0                             2.325320838673842e-02
m0                             2.827206251385733e-02
m0                             2.655779757870197e-02
m0                             2.930357902091128e-02
m0                             2.735977370405110e-02
m0                             2.778812138009814e-02
m0                             2.734236857787895e-02
m0                             2.532304698319753e-02
m0                             2.798750736942304e-02
m0                             2.462421968740384e-02
m0                             2.496208410094010e-02
m0                             1.903210571600993e-02
m0                             2.226840313185053e-02
m0                             1.860702168010547e-02
m0                             1.988672664086806e-02
m0                             1.527623913776012e-02
m0                             1.907309018059785e-02
m0                             1.876150398048556e-02
m0                             1.495656836093179e-02
m0                             1.805443124652958e-02
m0                             1.413415091952874e-02
m0                             1.540130090010065e-02
m0                             9.464930235961178e-03
m0                             1.203421728293136e-02
m0                             1.233007573190294e-02
m0                             1.089547140259088e-02
m0                             1.345859898576290e-02
m0                             1.222557297526439e-02
m0                             1.138132450575059e-02
m0                             1.046558432386055e-02
m0                             1.069359087759492e-02
m0                             1.255920551277979e-02
m0                             1.779242868125324e-02
m0                             1.376617539143197e-02
m0                             1.428345992766686e-02
m0                             1.644725109223928e-02
m0                             9.276481149920086e-03
m0                             7.788600238441619e-03
m0                             8.359475287543333e-03
m0                             5.567958532242582e-03
m0                             1.228070055575090e-03
m0                             1.465794877193399e-03
m0                             1.503268001970976e-03
m0                             7.936908279800717e-04
m0                             3.870834989863803e-04
m0                             1.505674186627157e-03
m0                             4.700189268204601e-03
m0                             8.949587907905523e-04
m0                             1.164136958706328e-02
m0                             1.275718459028613e-02
m0                             1.050400928918651e-02
m0                             6.577111462028377e-02
m0                             7.702389485588251e-02
m0                             1.825004458405524e-01
m0                             3.144259069138439e-01
m0                             2.122987569917834e-01
m0                             2.994879247775153e-01
m0                             3.325019551729400e-01
m0                             1.614367829545251e-01
m0                             1.915513111243102e-01
m0                             3.146057127296988e-01
m0                             3.265710701846315e-01
m0                             4.523400581830556e-01
m0                             4.118783581239984e-01
m0                             4.308767705904184e-01
m0                             8.050448482783358e-02
m0                             2.979581501366065e-01
m0                             2.718146337837160e-01
m0                             5.576820019092013e-01
m0                             4.100161901225507e-01
m0                             4.716837732059044e-01
m0                             4.802558978229897e-01
m0                             3.825315700334512e-01
m0                             2.428523702659288e-01
m0                             2.658747707932630e-01
m0                             2.986465211536642e-01
m0                             3.241178372208345e-01
m0                             3.674762067327799e-01
m0                             3.309370692561201e-01
m0                             2.580649628471991e-01
m0                             2.466401992046898e-01
m0                             2.420615171352977e-01
m0                             1.668468566270058e-01
m0                             1.963744539922477e-01
m0                             1.920797534225637e-01
m0                             2.423410467438232e-01
m0                             2.403987072681255e-01
m0                             2.117572792233614e-01
m0                             1.474971687883729e-01
m0                             2.113289436149216e-01
m0                             1.350105253926328e-01
m0                             1.956982222109381e-01
m0                             1.749164568782537e-01
