Parameter Name                 Value
m0                             3.701221396987632e-01
m0                             3.323768877245961e-01
m0                             2.599837553158036e-01
m0                             2.395413941918196e-01
m0                             2.442854177774715e-01
m0                             1.616473551362933e-01
m0                             1.949878677140413e-01
m0                             1.849742107522213e-01
m0                             2.389214520195829e-01
m0                             2.343518592861135e-01
m0                             2.168846652276376e-01
m0                             1.401809738154884e-01
m0                             2.086012862246001e-01
m0                             1.335574892439809e-01
m0                             1.871940110825404e-01
m0                             1.755640641268000e-01
m0                             1.898351036511756e-01
m0                             1.718210868249871e-01
m0                             1.548145566770234e-01
m0                             1.671315615409865e-01
m0                             1.734792844892486e-01
m0                             1.581669080490856e-01
m0                             1.134834993566520e-01
m0                             7.227455514016469e-02
m0                             1.171518953891055e-01
m0                             1.432413269619502e-01
m0                             1.462376066821880e-01
m0                             1.364689523026982e-01
m0                             1.228191510298370e-01
m0                             1.173251396018323e-01
m0                             1.103965345335059e-01
m0                             1.036936370322679e-01
m0                             9.620614244180108e-02
m0                             9.333056664229931e-02
m0                             8.804626878659202e-02
m0                             8.738928268876477e-02
m0                             8.409019637148922e-02
m0                             8.135495374849361e-02
m0                             7.897310609048713e-02
m0                             7.344148767444876e-02
m0                             7.063934548011867e-02
m0                             6.569714187356965e-02
m0                             6.166224014317302e-02
m0                             5.694431919976409e-02
m0                             6.118499742315511e-02
m0                             6.168979759718306e-02
m0                             6.235192780389966e-02
m0                             6.674779989089411e-02
m0                             5.730004555111210e-02
m0                             4.887609800034274e-02
m0                             4.423720556094168e-02
m0                             4.464092657915639e-02
m0                             5.147764017330779e-02
m0                             4.259272145963865e-02
m0                             4.581069802418379e-02
m0                             4.530056807697880e-02
m0                             5.135105750714582e-02
m0                             5.201386921650562e-02
m0                             4.852887250900474e-02
m0                             4.818313573345710e-02
m0                             4.576893857233661e-02
m0                             4.364980344756959e-02
m0                             3.750071006475726e-02
m0                             3.634017115854090e-02
m0                             3.743021900150850e-02
m0                             3.401247064739642e-02
m0                             3.826201549846623e-02
m0                             4.054580801064881e-02
m0                             3.398576653525612e-02
m0                             3.483979487638543e-02
m0                             2.954269370304387e-02
m0                             2.962691318384995e-02
m0                             2.386823847439599e-02
m0                             2.559972743265694e-02
m0                             2.129166618476162e-02
m0                             2.408910813820836e-02
m0                             2.218474246385387e-02
m0                             2.027292206481024e-02
m0                             1.778427623900408e-02
m0                             1.470661369532678e-02
m0                             1.517743617659405e-02
m0                             1.197416469681311e-02
m0                             1.000745594494399e-02
m0                             8.582463714704652e-03
m0                             8.127220923181288e-03
m0                             7.934978774917016e-03
m0                             7.688443438601072e-03
m0                             7.485367795217625e-03
m0                             7.300531503472810e-03
m0                             7.046308180577402e-03
m0                             6.746332641904547e-03
m0                             6.763801430721395e-03
m0                             5.741243605930958e-03
m0                             4.144742980574528e-03
m0                             4.046559173291182e-03
m0                             4.694492061564185e-03
m0                             4.286564642133402e-03
m0                             5.265762520404491e-03
m0                             1.059032096852087e-02
m0                             7.439125136616920e-03
m0                             2.597128194170958e-02
m0                             8.079648433528029e-02
m0                             6.491739464782759e-02
m0                             2.233071036975645e-01
m0                             1.960433116858482e-01
m0                             1.447068743919807e-01
m0                             2.840670587519518e-01
m0                             2.382451124476726e-01
m0                             1.674063137214209e-01
m0                             2.967114255439717e-01
m0                             2.356654293046993e-01
m0                             3.859357142901429e-01
m0                             3.966945385983408e-01
m0                             5.566936253614829e-01
m0                             1.725291490227037e-01
m0                             2.263132054796917e-01
m0                             2.297980839329454e-01
m0                             5.255491841397355e-01
m0                             5.029111740373154e-01
m0                             4.525714318027268e-01
m0                             5.683542280013507e-01
m0                             4.463689415924174e-01
m0                             3.558669222253328e-01
m0                             2.198855648808298e-01
m0                             3.639413195275369e-01
m0                             2.981049210074166e-01
m0                             4.036355480353424e-01
m0                             3.792824118006665e-01
m0                             3.053558873843109e-01
m0                             2.460094647565815e-01
m0                             2.607735909211933e-01
m0                             1.814698421944460e-01
m0                             2.101405970570157e-01
m0                             1.897811150307729e-01
m0                             2.716676309159439e-01
m0                             2.596485200686669e-01
